2024-04-23

completed normal 90 VM 001 time taken 440
completed normal 90 VM 008 time taken 480
completed normal 90 VM 026 time taken 460
completed normal 90 VM 027 time taken 460
completed normal 90 VM 028 time taken 440
completed normal 90 VM 033 time taken 450
completed normal 90 VM 034 time taken 480
completed normal 90 VM 036 time taken 460
completed normal 90 VM 040 time taken 460
completed normal 90 VM 049 time taken 460
cooldowm 90 iteration 0 VM 002 time taken 70
cooldowm 90 iteration 0 VM 003 time taken 60
cooldowm 90 iteration 0 VM 004 time taken 60
cooldowm 90 iteration 0 VM 005 time taken 60
cooldowm 90 iteration 0 VM 006 time taken 50
cooldowm 90 iteration 0 VM 007 time taken 60
cooldowm 90 iteration 0 VM 009 time taken 60
cooldowm 90 iteration 0 VM 010 time taken 60
cooldowm 90 iteration 0 VM 011 Base time taken 60
cooldowm 90 iteration 0 VM 012 time taken 70
cooldowm 90 iteration 0 VM 013 time taken 60
cooldowm 90 iteration 0 VM 014 time taken 70
cooldowm 90 iteration 0 VM 015 time taken 60
cooldowm 90 iteration 0 VM 016 time taken 70
cooldowm 90 iteration 0 VM 017 time taken 70
cooldowm 90 iteration 0 VM 018 time taken 70
cooldowm 90 iteration 0 VM 019 time taken 60
cooldowm 90 iteration 0 VM 020 time taken 60
cooldowm 90 iteration 0 VM 021 time taken 60
cooldowm 90 iteration 0 VM 023 time taken 70
cooldowm 90 iteration 0 VM 024 time taken 60
cooldowm 90 iteration 0 VM 025 time taken 70
cooldowm 90 iteration 0 VM 029 time taken 70
cooldowm 90 iteration 0 VM 030 time taken 70
cooldowm 90 iteration 0 VM 031 time taken 70
cooldowm 90 iteration 0 VM 032 time taken 70
cooldowm 90 iteration 0 VM 035 time taken 60
cooldowm 90 iteration 0 VM 037 time taken 70
cooldowm 90 iteration 0 VM 038 time taken 60
cooldowm 90 iteration 0 VM 039 time taken 60
cooldowm 90 iteration 0 VM 041 time taken 60
cooldowm 90 iteration 0 VM 042 time taken 60
cooldowm 90 iteration 0 VM 043 time taken 70
cooldowm 90 iteration 0 VM 044 time taken 70
cooldowm 90 iteration 0 VM 045 time taken 60
cooldowm 90 iteration 0 VM 046 time taken 60
cooldowm 90 iteration 0 VM 047 time taken 60
cooldowm 90 iteration 0 VM 048 time taken 60
cooldowm 90 iteration 0 VM 050 time taken 60
completed cooldown iteration 0
cooldowm 90 iteration 1 VM 003 time taken 60
cooldowm 90 iteration 1 VM 004 time taken 60
cooldowm 90 iteration 1 VM 005 time taken 70
cooldowm 90 iteration 1 VM 006 time taken 60
cooldowm 90 iteration 1 VM 007 time taken 60
cooldowm 90 iteration 1 VM 009 time taken 70
cooldowm 90 iteration 1 VM 010 time taken 60
cooldowm 90 iteration 1 VM 011 Base time taken 60
cooldowm 90 iteration 1 VM 012 time taken 60
